0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:46:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:46:59 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:47:48 +0900] "GET /BBS/css/images/3.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:47:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:47:48 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:47:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:47:57 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:04 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:04 +0900] "GET /BBS/css/images/3.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:04 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:06 +0900] "GET /BBS/css/images/3.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:07 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4975
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:32 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:32 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:48:32 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:35 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:35 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:35 +0900] "GET /BBS/images/main.jpg HTTP/1.1" 200 102095
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:38 +0900] "GET /BBS/css/images/3.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:52:38 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
